SKU,Product Title,Order ID,Shipping Province,Date,Product Price,Compare At price,Net Sales,Discount,Net Quantity,Status,Color,Brand,Group,Department,Class,Sub-Class,Collection
25035,Crocs Echo Storm / Beige,5.79E+12,Alberta,03-02-2025 00:03,45,120,45,0,1,Markdown,BRN,Crocs,Footwear,Mens Footwear,Sandals,Clogs,ECHO STORM
27840,adidas Originals Monogram Backpack / Magic Beige,5.79E+12,Alberta,03-02-2025 00:03,35,52,35,0,1,Markdown,BRN,adidas,Accessories,Other Accessories,Bags,Backpack,ADIDAS MONOGRAM
[Shippin,[Shipping],5.79E+12,Alberta,03-02-2025 00:03,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11537,Nike Women's Dunk Low White / Pro Green - Coconut Milk,5.79E+12,Ontario,03-02-2025 00:05,75,150,75,0,1,Markdown,WHT,Nike,Footwear,Womens Footwear,Basketball,Lifestyle,DUNK
[Shippin,[Shipping],5.79E+12,Ontario,03-02-2025 00:05,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28648,Nike P-6000 Black / Black,5.79E+12,Quebec,03-02-2025 00:09,90,145,90,0,1,Markdown,BLK,Nike,Footwear,Mens Footwear,Running,Lifestyle,P-6000
[Shippin,[Shipping],5.79E+12,Quebec,03-02-2025 00:09,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28648,Nike P-6000 Black / Black,5.79E+12,Manitoba,03-02-2025 00:10,90,145,90,0,1,Markdown,BLK,Nike,Footwear,Mens Footwear,Running,Lifestyle,P-6000
30383,Nike Air Pegasus 2005 Metallic Silver / Metallic Platinum,5.79E+12,Manitoba,03-02-2025 00:10,120,190,120,0,1,Markdown,SLV,Nike,Footwear,Mens Footwear,Running,Lifestyle,PEG 2K5
[Shippin,[Shipping],5.79E+12,Manitoba,03-02-2025 00:10,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30272,Jordan 1 Retro High OG White / Black - Varsity Red,5.79E+12,Alberta,03-02-2025 00:12,235,0,235,0,1,Full Price,WHT,Jordan,Footwear,Mens Footwear,Basketball,Signature,RETRO
[Shippin,[Shipping],5.79E+12,Alberta,03-02-2025 00:12,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32144,Hoodrich Women's Cherish Mid Length Full Zip Hoodie Black / White - Festival Bloom,5.79E+12,British Columbia,03-02-2025 00:16,85,130,85,0,1,Markdown,BLK,HOODRICH,Apparel,Womens Apparel,Mid Layer,Sweatshirt,CHERISH
[Shippin,[Shipping],5.79E+12,British Columbia,03-02-2025 00:16,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30348,Nike Dunk Low Retro White / Redwood - Gym Red,5.79E+12,Ontario,03-02-2025 00:41,110,150,110,0,1,Markdown,WHT,Nike,Footwear,Mens Footwear,Basketball,Lifestyle,DUNK
[Shippin,[Shipping],5.79E+12,Ontario,03-02-2025 00:41,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36647,Jordan 1 Low SE White / Black,5.79E+12,Quebec,03-02-2025 00:48,165,0,165,0,1,Full Price,WHT,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,AJ1 LOW
[Shippin,[Shipping],5.79E+12,Quebec,03-02-2025 00:48,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27901,Jordan Monogram Duffle Bag / Black,5.79E+12,Ontario,03-02-2025 00:51,135,0,135,0,1,Full Price,BLK,Jordan,Accessories,Other Accessories,Bags,Duffle,MONOGRAM
[Shippin,[Shipping],5.79E+12,Ontario,03-02-2025 00:51,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26570,Adidas Trefoil Bucket Hat / Black,5.79E+12,British Columbia,03-02-2025 00:52,10,45,10,0,1,Markdown,BLK,adidas,Accessories,Clothing Accessories,Headwear,Bucket Hat,ADIDAS MISCELLANEOUS
30443,Nike Zoom Vomero 5 GS Pure Platinum /  Glacier Blue,5.79E+12,British Columbia,03-02-2025 00:52,85,130,85,0,1,Markdown,SLV,Nike,Footwear,Junior Footwear,Running,Lifestyle,VOMERO
