SKU,Product Title,Order ID,Shipping Province,Date,Product Price,Compare At price,Net Sales,Discount,Net Quantity,Status,Color,Brand,Group,Department,Class,Sub-Class,Collection
25655,Nike Air Peg 2K5 White / Metallic Silver - Black,5.75E+12,Ontario,02-02-2025 00:00,130,190,130,0,1,Markdown,WHT,Nike,Footwear,Mens Footwear,Running,Lifestyle,PEG 2K5
30385,Nike Lunar Roam Summit White / Black - Coconut Milk,5.75E+12,Ontario,02-02-2025 00:00,135,190,135,0,1,Markdown,WHT,Nike,Footwear,Mens Footwear,Running,Lifestyle,LUNAR
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:00,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41784,Saucony Peregrine 13 ST Agave / Basalt,5.75E+12,Quebec,02-02-2025 00:01,85,169.99,85,0,1,Markdown,BLU,Saucony,Footwear,Mens Footwear,Athletic Casual,Running Inspired,PEREGRINE
[Shippin,[Shipping],5.75E+12,Quebec,02-02-2025 00:01,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31283,Supply & Demand Shock Jacket / Turbulence,5.75E+12,British Columbia,02-02-2025 00:02,100,150,100,0,1,Markdown,BLK,Supply and Demand,Apparel,Mens Apparel,Outerwear - Coat,Other,
[Shippin,[Shipping],5.75E+12,British Columbia,02-02-2025 00:02,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30863,ASICS Women's GEL-1130 White / Red Dahlia,5.75E+12,Ontario,02-02-2025 00:05,130,0,130,0,1,Full Price,WHT,ASICS,Footwear,Womens Footwear,Running,Lifestyle,GEL-1130
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:05,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31699,Jordan 3 Retro GS Black / Dark Charcoal - White,5.75E+12,Ontario,02-02-2025 00:06,175,0,175,0,1,Full Price,BLK,Jordan,Footwear,Junior Footwear,Basketball,Lifestyle,RETRO
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:06,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26725,Vans Knu Skool Black / True White,5.75E+12,Ontario,02-02-2025 00:07,105,0,105,0,1,Full Price,BLK,Vans,Footwear,Mens Footwear,Athletic Casual,Skate Inspired,KNU SKOOL
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:07,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20773,adidas Originals Solid Crew Socks (3 Pack) / Black,5.75E+12,Manitoba,02-02-2025 00:36,10,25,10,0,1,Markdown,BLK,adidas,Accessories,Clothing Accessories,Socks,Crew,ADIDAS MISCELLANEOUS
28656,Nike Dunk Low Retro White / Dragon Red - Blac,5.75E+12,Manitoba,02-02-2025 00:36,90,150,90,0,1,Markdown,WHT,Nike,Footwear,Mens Footwear,Basketball,Lifestyle,DUNK
[Shippin,[Shipping],5.75E+12,Manitoba,02-02-2025 00:36,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28193,adidas Women's Rivarly Mule Core Black / Off White,5.75E+12,British Columbia,02-02-2025 00:38,55,130,55,0,1,Markdown,BLK,adidas,Footwear,Womens Footwear,Basketball,Lifestyle,RIVALRY
28705,Nike Women's Cortez Textile Light Pumice / Metallic Silver,5.75E+12,British Columbia,02-02-2025 00:38,70,120,70,0,1,Markdown,GRN,Nike,Footwear,Womens Footwear,Running,Lifestyle,CORTEZ
[Shippin,[Shipping],5.75E+12,British Columbia,02-02-2025 00:38,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28596,Jordan 5 Retro White / Black - Sail,5.75E+12,Ontario,02-02-2025 00:40,260,0,260,0,1,Full Price,WHT,Jordan,Footwear,Mens Footwear,Basketball,Retro,RETRO
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:40,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20773,adidas Originals Solid Crew Socks (3 Pack) / Black,5.75E+12,British Columbia,02-02-2025 00:41,10,25,10,0,1,Markdown,BLK,adidas,Accessories,Clothing Accessories,Socks,Crew,ADIDAS MISCELLANEOUS
24031,adidas Originals Samba OG White / Collegiate Burgundy - Gum,5.75E+12,British Columbia,02-02-2025 00:41,80,130,80,0,1,Markdown,WHT,adidas,Footwear,Mens Footwear,Athletic Casual,Court Inspired,SAMBA
31003,Nike Everyday Essentials Fair Isle Crew Socks- Black / Coconut Milk,5.75E+12,British Columbia,02-02-2025 00:41,10,20,10,0,1,Markdown,BLK,Nike,Accessories,Clothing Accessories,Socks,Crew,
32301,Supply & Demand Vito Hoodie / Light Blue,5.75E+12,Ontario,02-02-2025 00:41,95,0,95,0,1,Full Price,BLU,Supply and Demand,Apparel,Mens Apparel,Mid Layer,Sweatshirt,
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:41,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
[Shippin,[Shipping],5.75E+12,British Columbia,02-02-2025 00:41,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21169,Nike Court Borough Low Recraft PS University Red / Black - White,5.75E+12,Manitoba,02-02-2025 00:42,70,0,70,0,1,Full Price,RED,Nike,Footwear,Childrens Footwear,Basketball,Lifestyle,COURT BOROUGH
21290,New Balance MT580EC2 / Elevated Classics,5.75E+12,Quebec,02-02-2025 00:42,100,170,100,0,1,Markdown,WHT,New Balance,Footwear,Mens Footwear,Running,Lifestyle,580
29749,UGG Women's Tasman / Chestnut,5.75E+12,Manitoba,02-02-2025 00:42,135,0,135,0,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,TASMAN
30394,Jordan Women's 1 Low White / Pink Oxford - Sail,5.75E+12,Manitoba,02-02-2025 00:42,150,0,150,0,1,Full Price,WHT,Jordan,Footwear,Womens Footwear,Basketball,Lifestyle,AJ1 LOW
30399,Nike Women's Air Force 1 '07 Next Nature Sail / Canyon Pink,5.75E+12,Manitoba,02-02-2025 00:42,90,150,90,0,1,Markdown,PNK,Nike,Footwear,Womens Footwear,Basketball,Lifestyle,AIR FORCE 1
[Shippin,[Shipping],5.75E+12,Quebec,02-02-2025 00:42,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
[Shippin,[Shipping],5.75E+12,Manitoba,02-02-2025 00:42,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27191,The North Face Women's Dome Puffy Puffer Jacket / Black,5.75E+12,Ontario,02-02-2025 00:43,200,320,200,0,1,Markdown,BLK,The North Face,Apparel,Womens Apparel,Jacket,Bomber,
[Shippin,[Shipping],5.75E+12,Ontario,02-02-2025 00:43,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
