SKU,Product Title,Order ID,Shipping Province,Date,Product Price,Compare At price,Net Sales,Discount,Net Quantity,Status,Color,Brand,Group,Department,Class,Sub-Class,Collection,Customer Type
32397,ASICS Gel-NYC 2055 Cream / Midnight,6.15E+12,British Columbia,11-02-2025 00:00,120,180,110,-10,1,Markdown,WHT,ASICS,Footwear,Mens Footwear,Running,Lifestyle,ASICS Gel-NYC 2055 Cream / Midnight,Returning Customer
[Shippin,[Shipping],6.15E+12,British Columbia,11-02-2025 00:00,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
34229,Hoodrich Icarus Mini Bag Black / Gold,6.15E+12,British Columbia,11-02-2025 00:05,60,60,60,0,1,Full Price,BLK,HOODRICH,Accessories,Other Accessories,Bags,Crossbody,$JD Hoodrich Icarus Mini Bag Black / Gold,First Time Customer
[Shippin,[Shipping],6.15E+12,British Columbia,11-02-2025 00:05,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
28002,Nike Big Kids Club Beanie and Gloves Set / Black,6.15E+12,Ontario,11-02-2025 00:06,30,0,28.88,-1.12,1,Full Price,BLK,Nike,Accessories,Clothing Accessories,Headwear,Beanie,Nike Big Kids Club Beanie Gloves Set / Black,First Time Customer
42034,Nike Sportswear Juniors' ADP Therma-FIT Puffer Jacket Black / White,6.15E+12,Ontario,11-02-2025 00:06,130,0,125.19,-4.81,1,Full Price,BLK,Nike,Apparel,Junior Apparel,Outerwear - Coat,Other,Nike Sportswear Juniors' ADP Therma-FIT Puffer Jacket Black,First Time Customer
42919,Nike Sportswear Juniors' TF ADP Puffer / Black,6.15E+12,Ontario,11-02-2025 00:06,110,0,105.93,-4.07,1,Full Price,BLK,Nike,Apparel,Junior Apparel,Jacket,Bomber,Nike Sportswear Juniors' TF ADP Puffer / Black,First Time Customer
[Shippin,[Shipping],6.15E+12,Ontario,11-02-2025 00:06,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
33964,Jordan Juniors' MJ Brooklyn Fleece Pant / Hemp,6.15E+12,Alberta,11-02-2025 00:24,30,50,30,0,1,Markdown,BRN,Jordan,Apparel,Junior Apparel,Bottoms,Pants,Jordan Juniors' MJ Brooklyn Fleece Pant / Hemp,Returning Customer
33997,Nike Sporstwear Childrens' GFX PO Fleece Pant Set Black / White - Volt,6.15E+12,Alberta,11-02-2025 00:24,60,0,60,0,1,Full Price,BLK,Nike,Apparel,Childrens Apparel,Sets,Other,Nike Sportswear Children's GFX PO Fleece Pant Set / Black,Returning Customer
42029,Nike Sportswear Juniors' Athletic Pullover Hoodie Comet Blue / Smoke Grey,6.15E+12,Alberta,11-02-2025 00:24,50,70,50,0,1,Markdown,BLU,Nike,Apparel,Junior Apparel,Mid Layer,Sweatshirt,$JD Nike Sportswear Juniors' Athletic Pullover Hoodie Blue,Returning Customer
42030,Nike Sportswear Juniors' Athletic Joggers Comet Blue / Smoke Grey,6.15E+12,Alberta,11-02-2025 00:24,35,50,35,0,1,Markdown,BLU,Nike,Apparel,Junior Apparel,Bottoms,Joggers,$JD Nike Sportswear Juniors' Athletic Joggers Comet Blue /,Returning Customer
43181,Sonneti Children's London Hoodie Set / Turbulence,6.15E+12,Alberta,11-02-2025 00:24,25,50,25,0,1,Markdown,GRY,Sonneti,Apparel,Childrens Apparel,Sets,Other,$JD Sonneti Children's London Hoodie Set / Turbulence,Returning Customer
[Shippin,[Shipping],6.15E+12,Alberta,11-02-2025 00:24,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
34565,Jordan Flight Court Black / Anthracite,6.15E+12,Ontario,11-02-2025 00:25,135,0,135,0,1,Full Price,BLK,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,Jordan Flight Court Black / Anthracite,Returning Customer
42126,Jordan Brooklyn Varsity Fleece Pullover Hoodie Black / White,6.15E+12,Ontario,11-02-2025 00:25,85,0,85,0,1,Full Price,BLK,Jordan,Apparel,Mens Apparel,Mid Layer,Sweatshirt,Jordan Brooklyn Varsity Fleece Pullover Hoodie Black / White,Returning Customer
42127,Jordan Brooklyn Varsity Fleece Joggers Black / White,6.15E+12,Ontario,11-02-2025 00:25,80,0,80,0,1,Full Price,BLK,Jordan,Apparel,Mens Apparel,Bottoms,Track Pants,Jordan Brooklyn Varsity Fleece Joggers Black / White,Returning Customer
[Shippin,[Shipping],6.15E+12,Ontario,11-02-2025 00:25,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
32286,On Women's Cloudswift Black / Black,6.15E+12,British Columbia,11-02-2025 00:28,150,200,150,0,1,Markdown,BLK,On,Footwear,Womens Footwear,Running,Technical,On Women's Cloudswift Black / Black,Returning Customer
[Shippin,[Shipping],6.15E+12,British Columbia,11-02-2025 00:28,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
4340,Nike Air VaporMax Plus White / Pure Platinum,6.15E+12,Ontario,11-02-2025 00:30,195,270,195,0,1,Markdown,WHT,Nike,Footwear,Mens Footwear,Running,Visible Tech,Nike Air VaporMax Plus White / Pure Platinum,First Time Customer
[Shippin,[Shipping],6.15E+12,Ontario,11-02-2025 00:30,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
34861,Nike Ja 3 GS Hyper Pink / Mint Foam - Black,6.15E+12,British Columbia,11-02-2025 00:32,120,0,66,-54,1,Full Price,PNK,Nike,Footwear,Junior Footwear,Basketball,Signature,Nike Ja 3 GS Hyper Pink / Mint Foam - Black,Returning Customer
42099,UGG Women's Tazz II / Chestnut,6.15E+12,British Columbia,11-02-2025 00:32,175,0,96.25,-78.75,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,UGG Women's Tazz II / Chestnut,Returning Customer
42113,UGG Women's Goldenstar Clog / Dusted Cocoa,6.15E+12,British Columbia,11-02-2025 00:32,165,0,90.75,-74.25,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,UGG Women's Goldenstar Clog / Dusted Cocoa,Returning Customer
42114,UGG Women's Goldenstar Clog / Chestnut,6.15E+12,British Columbia,11-02-2025 00:32,165,0,90.75,-74.25,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,UGG Women's Goldenstar Clog / Chestnut,Returning Customer
[Shippin,[Shipping],6.15E+12,British Columbia,11-02-2025 00:32,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
20180,Vans Classic Slip-On Black / Black,6.15E+12,Ontario,11-02-2025 00:38,50,70,46.55,-3.45,1,Markdown,BLK,Vans,Footwear,Mens Footwear,Athletic Casual,Skate Inspired,Vans Classic Slip-On Black / Black,First Time Customer
31741,Reebok Club C 85 White / White - Optimum Blue,6.15E+12,Ontario,11-02-2025 00:38,70,110,65.18,-4.82,1,Markdown,WHT,Reebok,Footwear,Mens Footwear,Athletic Casual,Court Inspired,Reebok Club C 85 White / White - Optimum Blue,First Time Customer
32888,Nike Dunk Low GS White / Washed Coral,6.15E+12,Ontario,11-02-2025 00:38,50,110,50,0,1,Markdown,WHT,Nike,Footwear,Junior Footwear,Basketball,Lifestyle,Nike Dunk Low GS White / Washed Coral,Returning Customer
